recipe,combo,k,n_syms,syms,coverage,mean_n,mean_wr,mean_avg,mean_delta,min_n,min_wr,min_avg,sum_score,detail,kind
L1_prior_up,15m_candle_dn+1w_above_sma9,2,4,"DIA,IWM,QQQ,SPY",4/4,28.25,0.6372221755917409,0.0017092536669708752,0.0006571062096696844,23,0.6086956521739131,0.0009543498748572,0.040114447212676,DIA n=37 WR=62% avg=+0.095% Δ=+0.006% | IWM n=25 WR=64% avg=+0.227% Δ=+0.075% | QQQ n=23 WR=61% avg=+0.203% Δ=+0.125% | SPY n=28 WR=68% avg=+0.158% Δ=+0.056%,pair
L1_prior_up,15m_candle_dn+1w_rsi_hi,2,4,"DIA,IWM,QQQ,SPY",4/4,25.0,0.6306831831831832,0.0017437235286554501,0.0006915760713542593,18,0.6111111111111112,0.0009543498748572,0.03784469099921947,DIA n=37 WR=62% avg=+0.095% Δ=+0.006% | IWM n=25 WR=64% avg=+0.227% Δ=+0.075% | QQQ n=18 WR=61% avg=+0.208% Δ=+0.130% | SPY n=20 WR=65% avg=+0.167% Δ=+0.065%,pair
L1_prior_up,1w_above_sma9,1,4,"DIA,IWM,QQQ,SPY",4/4,41.5,0.625484350410911,0.00111103681278775,5.888935548655846e-05,35,0.5789473684210527,0.0008904100109302,0.03183076947746781,DIA n=50 WR=62% avg=+0.089% Δ=+0.000% | IWM n=38 WR=58% avg=+0.152% Δ=+0.000% | QQQ n=35 WR=63% avg=+0.097% Δ=+0.019% | SPY n=43 WR=67% avg=+0.106% Δ=+0.005%,single
L1_prior_up,1h_bb_mid,1,4,"DIA,IWM,QQQ,SPY",4/4,42.0,0.6218201754385965,0.0010991544659001,4.700700859889726e-05,38,0.575,0.0008257703155037,0.03180691155590297,DIA n=45 WR=62% avg=+0.097% Δ=+0.008% | IWM n=38 WR=58% avg=+0.152% Δ=+0.000% | QQQ n=40 WR=57% avg=+0.083% Δ=+0.005% | SPY n=45 WR=71% avg=+0.108% Δ=+0.006%,single
L3_rsi35,1d_bb_mid,1,4,"DIA,IWM,QQQ,SPY",4/4,19.5,0.7383475965637091,0.0014493976151959249,3.3236867174e-05,12,0.5833333333333334,0.0010810191995559,0.031002488329568405,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000% | QQQ n=17 WR=76% avg=+0.214% Δ=+0.013% | SPY n=23 WR=91% avg=+0.108% Δ=+0.000%,single
L2_hvol,1w_above_sma9,1,4,"DIA,IWM,QQQ,SPY",4/4,32.75,0.6586064797271693,0.00115907166746785,5.535742527622198e-05,28,0.6071428571428571,0.0008946180454947,0.030913846373830968,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | QQQ n=28 WR=61% avg=+0.089% Δ=+0.016% | SPY n=35 WR=71% avg=+0.124% Δ=+0.006%,single
L2_hvol,1h_bb_mid+1w_above_sma9,2,4,"DIA,IWM,QQQ,SPY",4/4,31.0,0.6582508168715064,0.0011915584111512499,8.784416895962233e-05,27,0.6206896551724138,0.000963945605822,0.030864514117830838,DIA n=35 WR=69% avg=+0.124% Δ=+0.006% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | QQQ n=27 WR=63% avg=+0.096% Δ=+0.023% | SPY n=33 WR=70% avg=+0.124% Δ=+0.006%,pair
L3_rsi35,1w_above_sma9,1,4,"DIA,IWM,QQQ,SPY",4/4,18.25,0.7415293040293041,0.001488313855616175,7.215310759426763e-05,12,0.5833333333333334,0.0011520482334688,0.03063680776417351,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000% | QQQ n=14 WR=79% avg=+0.222% Δ=+0.022% | SPY n=21 WR=90% avg=+0.115% Δ=+0.007%,single
L3_rsi35,1h_bb_mid,1,4,"DIA,IWM,QQQ,SPY",4/4,19.0,0.7307449494949496,0.00142631569515055,1.015494712863275e-05,12,0.5833333333333334,0.0010896139876579,0.030120193007216824,DIA n=24 WR=71% avg=+0.126% Δ=+0.003% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000% | QQQ n=18 WR=72% avg=+0.200% Δ=+0.000% | SPY n=22 WR=91% avg=+0.109% Δ=+0.001%,single
L3_rsi35,1w_rsi_hi,1,4,"DIA,IWM,QQQ,SPY",4/4,16.75,0.726998491704374,0.001549716557420875,0.000133555809398925,12,0.5833333333333334,0.0012254774136195,0.02998336131152413,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000% | QQQ n=12 WR=75% avg=+0.232% Δ=+0.032% | SPY n=17 WR=88% avg=+0.130% Δ=+0.022%,single
L2_hvol,1w_rsi_hi,1,4,"DIA,IWM,QQQ,SPY",4/4,29.0,0.6395536846961135,0.001139050744912725,3.5336502721115484e-05,23,0.5652173913043478,0.000799971926197,0.028256487363688743,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | QQQ n=23 WR=57% avg=+0.080% Δ=+0.007% | SPY n=25 WR=68% avg=+0.125% Δ=+0.007%,single
L3_rsi35,15m_below_sma9+1w_above_sma9,2,3,"DIA,QQQ,SPY",3/4,16.333333333333332,0.8491228070175438,0.0020245379622922,0.0005873962702643903,10,0.7,0.0011382391504653,0.03036163879491264,DIA n=20 WR=70% avg=+0.142% Δ=+0.019% | QQQ n=10 WR=90% avg=+0.352% Δ=+0.151% | SPY n=19 WR=95% avg=+0.114% Δ=+0.006%,pair
L1_prior_up,15m_candle_dn+1h_bb_mid,2,3,"DIA,IWM,SPY",3/4,28.0,0.6461227661227662,0.0016747026502597333,0.0005310373801782746,25,0.6060606060606061,0.0009876811805402,0.029954858136989795,DIA n=33 WR=61% avg=+0.099% Δ=+0.010% | IWM n=25 WR=64% avg=+0.227% Δ=+0.075% | SPY n=26 WR=69% avg=+0.177% Δ=+0.075%,pair
L1_prior_up,15m_candle_dn+30m_rsi_mid,2,3,"DIA,IWM,SPY",3/4,19.666666666666668,0.6870129870129871,0.0020160794795439003,0.0008724142094624333,11,0.6,0.0012260941115743,0.02981944489847637,DIA n=28 WR=64% avg=+0.123% Δ=+0.034% | IWM n=20 WR=60% avg=+0.242% Δ=+0.090% | SPY n=11 WR=82% avg=+0.241% Δ=+0.139%,pair
L1_prior_up,15m_candle_dn+30m_bb_mid,2,3,"DIA,IWM,SPY",3/4,29.333333333333332,0.6513097713097714,0.0016368850187494335,0.0004932197486679292,25,0.6216216216216216,0.0009698755918143,0.029714830507421325,DIA n=37 WR=62% avg=+0.097% Δ=+0.008% | IWM n=25 WR=64% avg=+0.227% Δ=+0.075% | SPY n=26 WR=69% avg=+0.167% Δ=+0.065%,pair
L1_prior_up,15m_candle_dn,1,3,"DIA,IWM,SPY",3/4,30.333333333333332,0.6504255980118049,0.0016003083638142668,0.0004566430937328124,25,0.6216216216216216,0.0009543498748572,0.029552516726513864,DIA n=37 WR=62% avg=+0.095% Δ=+0.006% | IWM n=25 WR=64% avg=+0.227% Δ=+0.075% | SPY n=29 WR=69% avg=+0.158% Δ=+0.056%,single
L1_prior_up,15m_candle_dn+1w_bb_mid,2,3,"DIA,IWM,SPY",3/4,30.0,0.6467310167310169,0.0015903958361780997,0.00044673056609664574,25,0.6216216216216216,0.0009543498748572,0.02909841935510586,DIA n=37 WR=62% avg=+0.095% Δ=+0.006% | IWM n=25 WR=64% avg=+0.227% Δ=+0.075% | SPY n=28 WR=68% avg=+0.155% Δ=+0.053%,pair
L2_hvol,15m_candle_dn+30m_bb_mid,2,3,"DIA,IWM,SPY",3/4,23.0,0.7095238095238096,0.0016761455831063,0.00044864159227375077,18,0.6666666666666666,0.0012289598667661,0.02843852398250078,DIA n=30 WR=70% avg=+0.123% Δ=+0.005% | IWM n=18 WR=67% avg=+0.193% Δ=+0.061% | SPY n=21 WR=76% avg=+0.187% Δ=+0.069%,pair
L2_hvol,15m_candle_dn,1,3,"DIA,IWM,SPY",3/4,23.333333333333332,0.6979797979797979,0.0016300591388628332,0.0004025551480302746,18,0.6666666666666666,0.0012098114825191,0.027577834367876915,DIA n=30 WR=70% avg=+0.121% Δ=+0.003% | IWM n=18 WR=67% avg=+0.193% Δ=+0.061% | SPY n=22 WR=73% avg=+0.175% Δ=+0.057%,single
L2_hvol,15m_candle_dn+1w_above_sma9,2,3,"DIA,IWM,SPY",3/4,23.333333333333332,0.6979797979797979,0.0016300591388628332,0.0004025551480302746,18,0.6666666666666666,0.0012098114825191,0.027577834367876915,DIA n=30 WR=70% avg=+0.121% Δ=+0.003% | IWM n=18 WR=67% avg=+0.193% Δ=+0.061% | SPY n=22 WR=73% avg=+0.175% Δ=+0.057%,pair
L3_rsi35,15m_candle_dn,1,3,"DIA,QQQ,SPY",3/4,15.666666666666666,0.7680555555555556,0.0019680395887138333,0.0005308978966860129,10,0.6666666666666666,0.0013075012231188,0.027501371482717425,DIA n=21 WR=67% avg=+0.131% Δ=+0.008% | QQQ n=10 WR=70% avg=+0.303% Δ=+0.102% | SPY n=16 WR=94% avg=+0.157% Δ=+0.049%,single
L3_rsi35,15m_candle_dn+1h_bb_mid,2,3,"DIA,QQQ,SPY",3/4,14.666666666666666,0.7725146198830409,0.001999450888138133,0.0005623091961103,10,0.6842105263157895,0.0013565879404293,0.027452335086016827,DIA n=19 WR=68% avg=+0.136% Δ=+0.013% | QQQ n=10 WR=70% avg=+0.303% Δ=+0.102% | SPY n=15 WR=93% avg=+0.161% Δ=+0.053%,pair
L1_prior_up,15m_candle_dn+1d_bb_mid,2,3,"DIA,IWM,SPY",3/4,29.666666666666668,0.6427627627627627,0.0015104160428029666,0.00036675077272151237,25,0.6216216216216216,0.0009543498748572,0.027373832148116478,DIA n=37 WR=62% avg=+0.095% Δ=+0.006% | IWM n=25 WR=64% avg=+0.227% Δ=+0.075% | SPY n=27 WR=67% avg=+0.131% Δ=+0.029%,pair
L2_hvol,15m_candle_dn+1h_bb_mid,2,3,"DIA,IWM,SPY",3/4,21.666666666666668,0.691086691086691,0.0016708340008035668,0.000443330009971,18,0.6666666666666666,0.0012914183870647,0.027368839294333636,DIA n=26 WR=69% avg=+0.129% Δ=+0.011% | IWM n=18 WR=67% avg=+0.193% Δ=+0.061% | SPY n=21 WR=71% avg=+0.179% Δ=+0.061%,pair
L3_rsi35,15m_candle_dn+30m_bb_mid,2,3,"DIA,QQQ,SPY",3/4,15.333333333333334,0.7666666666666666,0.0019695201443190335,0.0005323784522911797,10,0.6666666666666666,0.0013075012231188,0.027214202514491498,DIA n=21 WR=67% avg=+0.131% Δ=+0.008% | QQQ n=10 WR=70% avg=+0.303% Δ=+0.102% | SPY n=15 WR=93% avg=+0.157% Δ=+0.049%,pair
